"font-mono","h-full src","truncate","hover:text-accent-foreground","hover:text-accent-foreground href","font-mono 2","font-mono 3","font-mono 4","font-mono 5","font-mono 6","text-muted-foreground 3","font-mono 7"
"1","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.inclusion-ai.org/&size=256","Ling 3.0 Flash","inclusionai","https://openrouter.ai/inclusionai","0.021","0.063","55","49","87.2B","–",""
"2","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.upstage.ai/&size=256","Solar Pro 4","upstage","https://openrouter.ai/upstage","0.03","0.12","1.3T","","","–","60"
"3","https://openrouter.ai/images/icons/DeepSeek.png","DeepSeek V4 Flash 0731","DeepSeek","https://openrouter.ai/deepseek","0.05","0.16","78","12.3T","69","","79"
"4","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://z.ai/&size=256","GLM 5.3 Flash","Z.ai","https://openrouter.ai/z-ai","12.2T","0.2375","0.07125","84","94","","84"
"5","https://openrouter.ai/images/icons/DeepSeek.png","DeepSeek V4 Flash 0423","DeepSeek","https://openrouter.ai/deepseek","5.1T","0.168","0.0679","64","62","","50"
"6","https://openrouter.ai/images/icons/OpenAI.svg","GPT-5.6 Luna (batch)","OpenAI","https://openrouter.ai/openai","73","0.60","83","82","6.8B","","0.10"
"7","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.mi.com&size=256","MiMo-V2.5","Xiaomi","https://openrouter.ai/xiaomi","2.5T","0.238","0.119","65","43","","44"
"8","https://openrouter.ai/images/icons/Tencent.png","Hy3 preview","tencent","https://openrouter.ai/tencent","6.5B","0.60","0.18","67","58","","53"
"9","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://www.mi.com&size=256","MiMo-V2.5-Pro","Xiaomi","https://openrouter.ai/xiaomi","258.4B","0.609","0.3045","69","52","","57"
"10","https://openrouter.ai/images/icons/NexAGI.svg","Nex-N2-Pro","nex-agi","https://openrouter.ai/nex-agi","","1","0.25","68","1.6B","–",""
"11","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://minimaxi.com/&size=256","MiniMax M3 (free)","MiniMax","https://openrouter.ai/minimax","5.1T","0.96","0.23","66","66","","59"
"12","https://openrouter.ai/images/icons/Qwen.png","Qwen3.8 27B","Qwen","https://openrouter.ai/qwen","241.3B","2","0.15","76","86","","65"
"13","https://openrouter.ai/images/icons/GoogleGemini.svg","Gemini 3.8 Flash (batch)","Google","https://openrouter.ai/google","2.1B","1.875","0.375","93","78","","83"
"14","https://openrouter.ai/images/icons/GoogleGemini.svg","Gemini 3.7 Flash (batch)","Google","https://openrouter.ai/google","7.3B","1.875","0.375","92","71","","78"
"15","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://z.ai/&size=256","GLM 5.2","Z.ai","https://openrouter.ai/z-ai","2.4T","1.56","0.4875","77","74","–",""
"16","https://openrouter.ai/images/icons/Qwen.png","Qwen3.7 Plus","Qwen","https://openrouter.ai/qwen","82.1B","1.28","0.32","62","46","","53"
"17","https://openrouter.ai/images/icons/GoogleGemini.svg","Gemini 3.6 Flash (batch)","Google","https://openrouter.ai/google","3.1B","1.875","0.375","80","64","","67"
"18","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://thinkingmachines.ai/&size=256","Inkling Small","thinkingmachines","https://openrouter.ai/thinkingmachines","7.3B","1.20","0.45","60","56","","55"
"19","https://openrouter.ai/images/icons/Qwen.png","Qwen3.6 Plus","Qwen","https://openrouter.ai/qwen","","1.95","0.325","61","17.8B","–",""
"20","https://openrouter.ai/images/icons/Qwen.png","Qwen3.6 27B","Qwen","https://openrouter.ai/qwen","27.1B","2","0.30","61","48","","43"
"21","https://openrouter.ai/images/icons/DeepSeek.png","DeepSeek V4 Pro 0423","DeepSeek","https://openrouter.ai/deepseek","1.2T","1.74","0.87","68","62","","62"
"22","https://openrouter.ai/images/icons/MoonshotAI.png","Kimi K2.5","moonshotai","https://openrouter.ai/moonshotai","","2.25","0.45","52","68B","–",""
"23","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://nvidia.com/&size=256","Nemotron 3 Ultra","Nvidia","https://openrouter.ai/nvidia","57.8B","2.20","0.50","53","50","","47"
"24","https://t0.gstatic.com/faviconV2?client=SOCIAL&type=FAVICON&fallback_opts=TYPE,SIZE,URL&url=https://z.ai/&size=256","GLM 5.3","Z.ai","https://openrouter.ai/z-ai","3.3T","3.52","1.12","91","96","","91"
"25","https://openrouter.ai/images/icons/DeepSeek.png","DeepSeek V4 Pro 0813","DeepSeek","https://openrouter.ai/deepseek","1T","2.97","0.99","77","81","","72"
